Gene,NAIP2C1,NAIP2,NEUROG2,NA,CTL,PSC
PLXNA1,14650.19175,22454.34588,26349.12072,23043.69134,24455.54409,6115.094342
VANGL2,14544.52192,10392.94134,13573.16744,15982.91141,11831.05134,5333.727194
ATF5,14542.7602,4370.439699,5712.328235,10239.279,1368.782058,606.1677019
RPL37,14523.05821,19314.07359,14629.69607,10881.0016,20858.13789,15538.21797
NEDD4L,14515.52127,4835.507757,9372.198381,11611.89784,3340.201343,5214.663023
SOX12,14493.44425,8274.896274,13026.8217,12508.52989,7107.438662,5655.20587
APC,14482.97927,3050.266373,9187.35524,13119.44585,1652.884092,3549.602486
RAD21,14480.66375,13558.39754,10454.59493,10360.94951,12879.41344,18119.40301
SMARCE1,14455.32176,9042.931995,13147.26668,13494.86716,8245.805647,8040.612463
DHX9,14447.61749,15249.80051,14466.29468,13871.69779,11978.36755,26174.79671
RPL18,14446.2664,18905.73276,13669.1278,9133.082096,21629.29369,19360.52516
POU4F2,14437.31346,2532.238045,1195.402986,492.3788281,0.136995688,1.074319377
CLASP1,14436.48685,6414.789235,9851.89123,12767.77933,5520.147791,5757.007561
OIP5-AS1,14413.23562,8500.228946,8334.781407,9255.64111,8049.643015,8335.448252
WDR82,14402.76318,8077.03591,11103.24216,15303.05755,6281.921271,5063.41354
ARF1,14396.72817,16392.80131,11855.48351,12478.73936,17988.98364,12847.77166
IGSF3,14368.04679,4032.030252,8526.162227,10927.21745,3369.58333,2667.260232
MEIS3,14357.41463,6251.759815,8849.947449,9953.323411,6795.281127,605.5477262
LOC728392,14354.33655,7609.379617,8158.300708,8163.299679,3417.760942,321.4875545
ABCA3,14322.64555,4213.430228,9874.10623,14090.39588,3154.692294,1214.26657
NACA,14303.90359,24417.09975,16636.47675,10846.49408,29773.59439,25243.38645
FKBP8,14244.19201,15710.03408,13680.57946,14588.49448,15656.52894,12951.0431
PGK1,14241.8593,16882.90219,11820.43302,13632.72463,20898.39335,48313.37502
CLIP3,14240.26651,4142.587485,10585.99632,13748.06975,4281.539121,976.8146924
HNRNPDL,14211.9168,12997.08576,16360.35899,14445.36895,11627.17937,17431.80937
GFRA1,14211.27409,16491.30891,17027.55537,16191.68325,1599.558575,91.69376607
DLK1,14210.54089,89788.98752,41197.63528,13219.34286,73580.18068,35.56840299
RPL14,14209.64369,23100.11535,14785.04832,11570.19258,23528.2059,20305.3079
NGRN,14201.46053,10231.79959,13433.67703,15625.78627,8187.053271,5541.013365
CORO1C,14195.37165,18387.07013,13674.85898,14346.07297,15847.17123,7410.417897
USP9X,14189.14519,12112.84767,15326.98131,13299.99322,13290.14414,60630.82256
MTSS1,14172.54825,2207.963348,4969.706423,6559.887234,829.7752368,283.2564507
CLSTN1,14156.89339,12129.52369,13715.85093,14734.42781,15593.15727,6641.223266
STON2,14146.32631,3656.557154,5041.99574,6869.588923,2540.849964,2033.508353
ENAH,14142.48666,20598.09054,13829.29928,13191.54042,17647.81343,27272.56656
PCBP1,14048.31983,16168.56406,14501.31221,12986.72683,17443.06217,25670.80684
SMARCA5,14010.46207,13111.34708,14778.56889,13151.17679,12518.66544,20988.42635
RPL32,14006.26074,22580.78763,14689.90658,10516.6466,23233.65521,20398.27705
