"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"21775","FOXS1",-0.665417929,0.63835438,0.63835438,-0.665417929,"FOXS1","Not Sig"
"21776","IFT57",0.099524696,0.638439017,0.638439017,0.099524696,"IFT57","Not Sig"
"21777","PLCXD1",-0.516015556,0.638494828,0.638494828,-0.516015556,"PLCXD1","Not Sig"
"21778","LOC102723914",0.588096985,0.638788312,0.638788312,0.588096985,"LOC102723914","Not Sig"
"21779","LOC105373794",0.739911669,0.638788312,0.638788312,0.739911669,"LOC105373794","Not Sig"
"21780","UBE2B",0.127963903,0.639060144,0.639060144,0.127963903,"UBE2B","Not Sig"
"21781","RNASEL",-0.197814263,0.639291934,0.639291934,-0.197814263,"RNASEL","Not Sig"
"21782","BAG5",-0.068988345,0.639291934,0.639291934,-0.068988345,"BAG5","Not Sig"
"21783","RALGAPA1P1",0.186118544,0.639291934,0.639291934,0.186118544,"RALGAPA1P1","Not Sig"
"21784","VTRNA1-3",0.634690974,0.63977269,0.63977269,0.634690974,"VTRNA1-3","Not Sig"
"21785","CMTR2",0.179743492,0.63999502,0.63999502,0.179743492,"CMTR2","Not Sig"
"21786","LOC107985657",-0.584123234,0.64003059,0.64003059,-0.584123234,"LOC107985657","Not Sig"
"21787","SDCBP2",-0.685296921,0.64007664,0.64007664,-0.685296921,"SDCBP2","Not Sig"
"21788","RANGRF",-0.183763353,0.64007664,0.64007664,-0.183763353,"RANGRF","Not Sig"
"21789","CASP3",-0.204209879,0.640117445,0.640117445,-0.204209879,"CASP3","Not Sig"
"21790","ECH1",-0.740053485,0.64014664,0.64014664,-0.740053485,"ECH1","Not Sig"
"21791","IMMP1L",-0.160789475,0.640568287,0.640568287,-0.160789475,"IMMP1L","Not Sig"
"21792","PTTG1IP2",0.627962854,0.64069729,0.64069729,0.627962854,"PTTG1IP2","Not Sig"
"21793","AGPAT1_2",-0.624521625,0.640832825,0.640832825,-0.624521625,"AGPAT1_2","Not Sig"
"21794","SEPTIN11",-0.110509936,0.640850756,0.640850756,-0.110509936,"SEPTIN11","Not Sig"
"21795","LINC00471",-0.217249486,0.641095745,0.641095745,-0.217249486,"LINC00471","Not Sig"
"21796","LOC105369322",-0.551654486,0.641140132,0.641140132,-0.551654486,"LOC105369322","Not Sig"
"21797","MICA",-0.792841706,0.641193337,0.641193337,-0.792841706,"MICA","Not Sig"
"21798","LOC107985145",0.79200239,0.641333773,0.641333773,0.79200239,"LOC107985145","Not Sig"
"21799","LOC105369194",0.267155776,0.641354572,0.641354572,0.267155776,"LOC105369194","Not Sig"
"21800","TP73-AS1",0.081916972,0.641391249,0.641391249,0.081916972,"TP73-AS1","Not Sig"
"21801","MTCH1",0.080544883,0.641655516,0.641655516,0.080544883,"MTCH1","Not Sig"
"21802","SRPK3",-0.362662941,0.641770788,0.641770788,-0.362662941,"SRPK3","Not Sig"
"21803","ZNF251",0.575413753,0.641770788,0.641770788,0.575413753,"ZNF251","Not Sig"
"21804","MDC1_2",0.654353098,0.641770788,0.641770788,0.654353098,"MDC1_2","Not Sig"
"21805","LOC105373945",-0.333289639,0.64211035,0.64211035,-0.333289639,"LOC105373945","Not Sig"
"21806","NME2",-0.248335422,0.642379577,0.642379577,-0.248335422,"NME2","Not Sig"
"21807","LOC107986646",-0.750815898,0.642549312,0.642549312,-0.750815898,"LOC107986646","Not Sig"
"21808","LOC105374376",-0.695462983,0.642549312,0.642549312,-0.695462983,"LOC105374376","Not Sig"
"21809","MIR4712",-0.38277542,0.642822032,0.642822032,-0.38277542,"MIR4712","Not Sig"
"21810","LINC00654",-0.365420114,0.642822032,0.642822032,-0.365420114,"LINC00654","Not Sig"
"21811","GJA9-MYCBP",-0.773149972,0.642845111,0.642845111,-0.773149972,"GJA9-MYCBP","Not Sig"
"21812","GTF2H2C",-0.424682085,0.642845111,0.642845111,-0.424682085,"GTF2H2C","Not Sig"
"21813","LOC101060341",-0.412005519,0.643297737,0.643297737,-0.412005519,"LOC101060341","Not Sig"
