"","Gene","logFC","FDR","fdr","logfc","labels","sig"
"7890","LOC105374945",-7.036976437,4.41e-07,4.41e-07,-7.036976437,"LOC105374945","Down"
"7891","LOC105371077",-4.438027246,4.41e-07,4.41e-07,-4.438027246,"LOC105371077","Down"
"7892","CFAP58",-4.590175196,4.42e-07,4.42e-07,-4.590175196,"CFAP58","Down"
"7893","KCNJ8",-2.925697193,4.43e-07,4.43e-07,-2.925697193,"KCNJ8","Down"
"7894","KMT5C",0.944272648,4.43e-07,4.43e-07,0.944272648,"KMT5C","Up"
"7895","RALB",1.288776487,4.43e-07,4.43e-07,1.288776487,"RALB","Up"
"7896","MAPT-AS1",4.804013345,4.43e-07,4.43e-07,4.804013345,"MAPT-AS1","Up"
"7897","TGFB1I1",-2.907135733,4.45e-07,4.45e-07,-2.907135733,"TGFB1I1","Down"
"7898","RDX",-0.940104046,4.46e-07,4.46e-07,-0.940104046,"RDX","Down"
"7899","COL12A1",-2.57606312,4.47e-07,4.47e-07,-2.57606312,"COL12A1","Down"
"7900","ISYNA1",-1.459046829,4.47e-07,4.47e-07,-1.459046829,"ISYNA1","Down"
"7901","CLEC11A",1.193521028,4.47e-07,4.47e-07,1.193521028,"CLEC11A","Up"
"7902","CNN1",-2.380400385,4.49e-07,4.49e-07,-2.380400385,"CNN1","Down"
"7903","ZC3HC1",-0.75336521,4.49e-07,4.49e-07,-0.75336521,"ZC3HC1","Down"
"7904","MAP10",0.91959724,4.51e-07,4.51e-07,0.91959724,"MAP10","Up"
"7905","CAPRIN2",-1.589437168,4.54e-07,4.54e-07,-1.589437168,"CAPRIN2","Down"
"7906","LBHD1",1.533901193,4.54e-07,4.54e-07,1.533901193,"LBHD1","Up"
"7907","LOC112268038",-3.099383814,4.55e-07,4.55e-07,-3.099383814,"LOC112268038","Down"
"7908","ABHD11",-1.055948667,4.56e-07,4.56e-07,-1.055948667,"ABHD11","Down"
"7909","MAN1C1",-0.866220958,4.58e-07,4.58e-07,-0.866220958,"MAN1C1","Down"
"7910","CACNB4",1.958545153,4.59e-07,4.59e-07,1.958545153,"CACNB4","Up"
"7911","RAMP2-AS1",1.318388232,4.6e-07,4.6e-07,1.318388232,"RAMP2-AS1","Up"
"7912","GSTM5",-4.18034156,4.61e-07,4.61e-07,-4.18034156,"GSTM5","Down"
"7913","ALDH1L1",-4.860189835,4.62e-07,4.62e-07,-4.860189835,"ALDH1L1","Down"
"7914","DPY19L4",-0.708379738,4.62e-07,4.62e-07,-0.708379738,"DPY19L4","Down"
"7915","LINC00539",2.493634391,4.63e-07,4.63e-07,2.493634391,"LINC00539","Up"
"7916","BASP1P1",4.548954767,4.64e-07,4.64e-07,4.548954767,"BASP1P1","Up"
"7917","CHST5",2.088306835,4.66e-07,4.66e-07,2.088306835,"CHST5","Up"
"7918","NUTM2E",2.783874753,4.69e-07,4.69e-07,2.783874753,"NUTM2E","Up"
"7919","BCL10",-0.39797514,4.7e-07,4.7e-07,-0.39797514,"BCL10","Not Sig"
"7920","TRIM73",4.819013877,4.7e-07,4.7e-07,4.819013877,"TRIM73","Up"
"7921","DKK2",3.304507486,4.71e-07,4.71e-07,3.304507486,"DKK2","Up"
"7922","ADAM28",-4.983964558,4.74e-07,4.74e-07,-4.983964558,"ADAM28","Down"
"7923","PINLYP",-1.64332056,4.76e-07,4.76e-07,-1.64332056,"PINLYP","Down"
"7924","SLC11A2",-0.425606642,4.76e-07,4.76e-07,-0.425606642,"SLC11A2","Not Sig"
"7925","TSACC",-3.428355838,4.77e-07,4.77e-07,-3.428355838,"TSACC","Down"
"7926","AMOTL2",0.741049934,4.78e-07,4.78e-07,0.741049934,"AMOTL2","Up"
"7927","SLC26A1",2.251383385,4.79e-07,4.79e-07,2.251383385,"SLC26A1","Up"
"7928","QRICH1",-0.557862821,4.8e-07,4.8e-07,-0.557862821,"QRICH1","Not Sig"
"7929","GREM2",4.06299863,4.81e-07,4.81e-07,4.06299863,"GREM2","Up"
"7930","TCEANC",1.01130355,4.85e-07,4.85e-07,1.01130355,"TCEANC","Up"
"7931","STX10",-1.107289671,4.86e-07,4.86e-07,-1.107289671,"STX10","Down"
"7932","SMTN",-0.967401429,4.86e-07,4.86e-07,-0.967401429,"SMTN","Down"
"7933","XIRP2",-5.812843327,4.88e-07,4.88e-07,-5.812843327,"XIRP2","Down"
"7934","IGSF8",-1.45233497,4.9e-07,4.9e-07,-1.45233497,"IGSF8","Down"
"7935","NUCB2",0.814837483,4.9e-07,4.9e-07,0.814837483,"NUCB2","Up"
"7936","POU6F2",2.660354572,4.9e-07,4.9e-07,2.660354572,"POU6F2","Up"
"7937","SENP6",-0.560145949,4.92e-07,4.92e-07,-0.560145949,"SENP6","Not Sig"
"7938","ANKLE1",-1.223815609,4.94e-07,4.94e-07,-1.223815609,"ANKLE1","Down"
"7939","LRFN5-DT",2.048927046,4.94e-07,4.94e-07,2.048927046,"LRFN5-DT","Up"
"7940","DGKB",-1.832822167,4.95e-07,4.95e-07,-1.832822167,"DGKB","Down"
"7941","KCTD10",1.027318121,4.95e-07,4.95e-07,1.027318121,"KCTD10","Up"
"7942","RIC3",1.571959564,4.95e-07,4.95e-07,1.571959564,"RIC3","Up"
"7943","LOC100506990_1",2.10829724,4.98e-07,4.98e-07,2.10829724,"LOC100506990_1","Up"
"7944","TRABD",-0.851802437,5.02e-07,5.02e-07,-0.851802437,"TRABD","Down"
"7945","TERF1P7",-2.897502146,5.03e-07,5.03e-07,-2.897502146,"TERF1P7","Down"
"7946","CHAC1",1.183276845,5.04e-07,5.04e-07,1.183276845,"CHAC1","Up"
"7947","UBE2O",0.461334632,5.06e-07,5.06e-07,0.461334632,"UBE2O","Not Sig"
"7948","GGN",1.669175675,5.11e-07,5.11e-07,1.669175675,"GGN","Up"
"7949","FRMPD2",-4.337065005,5.15e-07,5.15e-07,-4.337065005,"FRMPD2","Down"
"7950","CARM1",-0.662857616,5.15e-07,5.15e-07,-0.662857616,"CARM1","Down"
"7951","ZBTB8B",1.333893096,5.15e-07,5.15e-07,1.333893096,"ZBTB8B","Up"
"7952","WHAMM",0.859341571,5.18e-07,5.18e-07,0.859341571,"WHAMM","Up"
"7953","SLC25A35",-1.838263701,5.2e-07,5.2e-07,-1.838263701,"SLC25A35","Down"
"7954","CCDC180",2.825510723,5.2e-07,5.2e-07,2.825510723,"CCDC180","Up"
"7955","MYNN",-0.756827346,5.23e-07,5.23e-07,-0.756827346,"MYNN","Down"
"7956","EIF5AL1",-1.971274684,5.24e-07,5.24e-07,-1.971274684,"EIF5AL1","Down"
"7957","CYP2J2",-5.14516294,5.26e-07,5.26e-07,-5.14516294,"CYP2J2","Down"
"7958","SLC16A3",-1.781483976,5.32e-07,5.32e-07,-1.781483976,"SLC16A3","Down"
"7959","SYCP1",-6.548961258,5.34e-07,5.34e-07,-6.548961258,"SYCP1","Down"
"7960","SARNP",-0.952672427,5.35e-07,5.35e-07,-0.952672427,"SARNP","Down"
"7961","NMT2",0.656180593,5.4e-07,5.4e-07,0.656180593,"NMT2","Up"
"7962","MIR10527",-4.128139344,5.42e-07,5.42e-07,-4.128139344,"MIR10527","Down"
"7963","SLITRK4",1.304388359,5.43e-07,5.43e-07,1.304388359,"SLITRK4","Up"
"7964","ERCC4",0.801179268,5.44e-07,5.44e-07,0.801179268,"ERCC4","Up"
"7965","GRK2",0.830789305,5.47e-07,5.47e-07,0.830789305,"GRK2","Up"
"7966","SPECC1L",1.057282583,5.48e-07,5.48e-07,1.057282583,"SPECC1L","Up"
"7967","LINC01260",4.597073115,5.48e-07,5.48e-07,4.597073115,"LINC01260","Up"
"7968","FAM66A_1",4.258190497,5.52e-07,5.52e-07,4.258190497,"FAM66A_1","Up"
"7969","THAP9-AS1",-0.895726018,5.54e-07,5.54e-07,-0.895726018,"THAP9-AS1","Down"
"7970","ZC2HC1C",1.59650061,5.54e-07,5.54e-07,1.59650061,"ZC2HC1C","Up"
"7971","LINC02482",2.232255928,5.57e-07,5.57e-07,2.232255928,"LINC02482","Up"
"7972","OSBP2",1.430266417,5.67e-07,5.67e-07,1.430266417,"OSBP2","Up"
"7973","DYNC1H1",1.124270981,5.68e-07,5.68e-07,1.124270981,"DYNC1H1","Up"
"7974","LOC105370687",1.55595266,5.68e-07,5.68e-07,1.55595266,"LOC105370687","Up"
"7975","IARS2",-1.029332556,5.71e-07,5.71e-07,-1.029332556,"IARS2","Down"
"7976","PRSS27",2.140519537,5.71e-07,5.71e-07,2.140519537,"PRSS27","Up"
"7977","TPTE2P6",-5.734890944,5.74e-07,5.74e-07,-5.734890944,"TPTE2P6","Down"
"7978","MRPS22",-0.977538865,5.74e-07,5.74e-07,-0.977538865,"MRPS22","Down"
"7979","ISCA2",-0.699076753,5.74e-07,5.74e-07,-0.699076753,"ISCA2","Down"
"7980","NSD3",1.152327798,5.75e-07,5.75e-07,1.152327798,"NSD3","Up"
"7981","AFF4",1.443172226,5.76e-07,5.76e-07,1.443172226,"AFF4","Up"
"7982","LINGO2",1.612467459,5.79e-07,5.79e-07,1.612467459,"LINGO2","Up"
"7983","IL11",2.499669121,5.83e-07,5.83e-07,2.499669121,"IL11","Up"
"7984","LTBR",-5.366463876,5.87e-07,5.87e-07,-5.366463876,"LTBR","Down"
"7985","ALOX15P1",2.132725562,5.87e-07,5.87e-07,2.132725562,"ALOX15P1","Up"
"7986","CCZ1P-OR7E38P",-2.959963544,5.88e-07,5.88e-07,-2.959963544,"CCZ1P-OR7E38P","Down"
"7987","RALGPS2",0.990057035,5.89e-07,5.89e-07,0.990057035,"RALGPS2","Up"
"7988","DAGLB",0.459593784,5.9e-07,5.9e-07,0.459593784,"DAGLB","Not Sig"
"7989","NBPF20",1.658790344,5.91e-07,5.91e-07,1.658790344,"NBPF20","Up"
"7990","SLC35F5",0.717027226,5.93e-07,5.93e-07,0.717027226,"SLC35F5","Up"
"7991","CTTNBP2NL",0.903496189,5.94e-07,5.94e-07,0.903496189,"CTTNBP2NL","Up"
"7992","RFTN1",0.921815289,6e-07,6e-07,0.921815289,"RFTN1","Up"
"7993","CDC42EP2",-1.616838726,6.01e-07,6.01e-07,-1.616838726,"CDC42EP2","Down"
"7994","LOC107987372",4.635683713,6.06e-07,6.06e-07,4.635683713,"LOC107987372","Up"
"7995","BTAF1",-1.228333062,6.07e-07,6.07e-07,-1.228333062,"BTAF1","Down"
"7996","ZNF747",1.095439268,6.07e-07,6.07e-07,1.095439268,"ZNF747","Up"
"7997","LOC102724159",-1.603453244,6.08e-07,6.08e-07,-1.603453244,"LOC102724159","Down"
"7998","PLGLB1",4.817050496,6.1e-07,6.1e-07,4.817050496,"PLGLB1","Up"
"7999","MIR3936",4.51487479,6.12e-07,6.12e-07,4.51487479,"MIR3936","Up"
"8000","SNORD96A",-2.094408466,6.13e-07,6.13e-07,-2.094408466,"SNORD96A","Down"
"8001","CFAP410",1.531059341,6.13e-07,6.13e-07,1.531059341,"CFAP410","Up"
"8002","CSNK2A2",-0.547021089,6.15e-07,6.15e-07,-0.547021089,"CSNK2A2","Not Sig"
"8003","FOSB",-3.344939271,6.19e-07,6.19e-07,-3.344939271,"FOSB","Down"
"8004","TMEM33",-0.728881917,6.2e-07,6.2e-07,-0.728881917,"TMEM33","Down"
"8005","ADAM19",1.836401628,6.2e-07,6.2e-07,1.836401628,"ADAM19","Up"
"8006","TIMM44",-0.884549687,6.24e-07,6.24e-07,-0.884549687,"TIMM44","Down"
"8007","MARK4",1.900149212,6.28e-07,6.28e-07,1.900149212,"MARK4","Up"
"8008","RRP9",-1.333308628,6.32e-07,6.32e-07,-1.333308628,"RRP9","Down"
"8009","TM9SF2",-0.362057302,6.37e-07,6.37e-07,-0.362057302,"TM9SF2","Not Sig"
"8010","TRPC7",4.880054406,6.42e-07,6.42e-07,4.880054406,"TRPC7","Up"
"8011","TRNV",-5.094585544,6.45e-07,6.45e-07,-5.094585544,"TRNV","Down"
"8012","ZNF480",-1.038060244,6.47e-07,6.47e-07,-1.038060244,"ZNF480","Down"
"8013","WDR70",-0.572375641,6.64e-07,6.64e-07,-0.572375641,"WDR70","Not Sig"
"8014","VMO1",3.002531813,6.64e-07,6.64e-07,3.002531813,"VMO1","Up"
"8015","NUP58",-0.733024509,6.65e-07,6.65e-07,-0.733024509,"NUP58","Down"
"8016","TNNC1",-2.899659875,6.69e-07,6.69e-07,-2.899659875,"TNNC1","Down"
"8017","DDX39A",-0.985018484,6.73e-07,6.73e-07,-0.985018484,"DDX39A","Down"
"8018","KCNN3",2.027114924,6.73e-07,6.73e-07,2.027114924,"KCNN3","Up"
"8019","SH3RF3",2.106481945,6.76e-07,6.76e-07,2.106481945,"SH3RF3","Up"
"8020","CALN1",-1.555094756,6.78e-07,6.78e-07,-1.555094756,"CALN1","Down"
"8021","STAG3L5P-PVRIG2P-PILRB",1.48040624,6.78e-07,6.78e-07,1.48040624,"STAG3L5P-PVRIG2P-PILRB","Up"
"8022","ANGEL1",-0.96281105,6.8e-07,6.8e-07,-0.96281105,"ANGEL1","Down"
"8023","ANKRD35",-2.384729839,6.81e-07,6.81e-07,-2.384729839,"ANKRD35","Down"
"8024","H3-3B",0.636808119,6.84e-07,6.84e-07,0.636808119,"H3-3B","Up"
"8025","OLFML2A",-2.790278197,6.86e-07,6.86e-07,-2.790278197,"OLFML2A","Down"
"8026","H3C7",-5.615556143,6.93e-07,6.93e-07,-5.615556143,"H3C7","Down"
"8027","SLC39A11",-1.318025319,7e-07,7e-07,-1.318025319,"SLC39A11","Down"
"8028","RAB40A",2.720379558,7.01e-07,7.01e-07,2.720379558,"RAB40A","Up"
"8029","TOX4",0.738001846,7.1e-07,7.1e-07,0.738001846,"TOX4","Up"
"8030","ARG2",0.860305589,7.1e-07,7.1e-07,0.860305589,"ARG2","Up"
"8031","ZBTB42",-3.483659933,7.15e-07,7.15e-07,-3.483659933,"ZBTB42","Down"
"8032","CCDC171",-1.876231006,7.15e-07,7.15e-07,-1.876231006,"CCDC171","Down"
"8033","DKK1",2.654637514,7.17e-07,7.17e-07,2.654637514,"DKK1","Up"
"8034","MTMR9_1",1.337372092,7.18e-07,7.18e-07,1.337372092,"MTMR9_1","Up"
"8035","LOC105373062",-4.323964805,7.19e-07,7.19e-07,-4.323964805,"LOC105373062","Down"
"8036","RPL6",-1.122866223,7.19e-07,7.19e-07,-1.122866223,"RPL6","Down"
"8037","BTF3",-1.972788575,7.29e-07,7.29e-07,-1.972788575,"BTF3","Down"
"8038","MTERF4",0.657459277,7.3e-07,7.3e-07,0.657459277,"MTERF4","Up"
"8039","BANP",-0.540350017,7.34e-07,7.34e-07,-0.540350017,"BANP","Not Sig"
"8040","LOC283028",3.212744081,7.34e-07,7.34e-07,3.212744081,"LOC283028","Up"
"8041","ZNF425",0.587598855,7.36e-07,7.36e-07,0.587598855,"ZNF425","Up"
"8042","MIR149",4.628164013,7.37e-07,7.37e-07,4.628164013,"MIR149","Up"
"8043","GPAM",0.718759509,7.42e-07,7.42e-07,0.718759509,"GPAM","Up"
"8044","RPAIN",0.846122437,7.43e-07,7.43e-07,0.846122437,"RPAIN","Up"
"8045","ASTL",-5.959607781,7.49e-07,7.49e-07,-5.959607781,"ASTL","Down"
"8046","MIS18A-AS1",2.196473234,7.49e-07,7.49e-07,2.196473234,"MIS18A-AS1","Up"
"8047","DPEP3",-6.828323451,7.63e-07,7.63e-07,-6.828323451,"DPEP3","Down"
"8048","KDM4A",0.612790614,7.68e-07,7.68e-07,0.612790614,"KDM4A","Up"
"8049","SNORD44",-2.471346038,7.69e-07,7.69e-07,-2.471346038,"SNORD44","Down"
"8050","SETD1B",1.639024877,7.73e-07,7.73e-07,1.639024877,"SETD1B","Up"
"8051","FMO5",-2.104504919,7.8e-07,7.8e-07,-2.104504919,"FMO5","Down"
"8052","CREB3L2",-1.26777026,7.84e-07,7.84e-07,-1.26777026,"CREB3L2","Down"
"8053","TRAPPC14",1.296737632,7.84e-07,7.84e-07,1.296737632,"TRAPPC14","Up"
"8054","LOC102723985",-2.73923903,7.85e-07,7.85e-07,-2.73923903,"LOC102723985","Down"
"8055","ERG",-5.066746216,7.86e-07,7.86e-07,-5.066746216,"ERG","Down"
"8056","DNAJC12",2.314077414,7.95e-07,7.95e-07,2.314077414,"DNAJC12","Up"
"8057","NSL1",-0.753134958,8.03e-07,8.03e-07,-0.753134958,"NSL1","Down"
"8058","PLEK2",-4.948115043,8.05e-07,8.05e-07,-4.948115043,"PLEK2","Down"
"8059","LOC105378842",4.54858665,8.05e-07,8.05e-07,4.54858665,"LOC105378842","Up"
"8060","APOLD1",1.475505546,8.07e-07,8.07e-07,1.475505546,"APOLD1","Up"
"8061","STAU2",0.791477036,8.08e-07,8.08e-07,0.791477036,"STAU2","Up"
"8062","SFN",-3.922611199,8.12e-07,8.12e-07,-3.922611199,"SFN","Down"
"8063","ADD2",0.880362148,8.12e-07,8.12e-07,0.880362148,"ADD2","Up"
"8064","MMADHC-DT",2.787862576,8.18e-07,8.18e-07,2.787862576,"MMADHC-DT","Up"
"8065","PSMD12",-0.751204235,8.22e-07,8.22e-07,-0.751204235,"PSMD12","Down"
"8066","SNRPD1",-1.250963581,8.24e-07,8.24e-07,-1.250963581,"SNRPD1","Down"
"8067","NTF4",-3.94878967,8.25e-07,8.25e-07,-3.94878967,"NTF4","Down"
"8068","UBE2V1",-1.585529746,8.25e-07,8.25e-07,-1.585529746,"UBE2V1","Down"
"8069","GAN",-1.047065828,8.31e-07,8.31e-07,-1.047065828,"GAN","Down"
"8070","MMP15",1.239887999,8.31e-07,8.31e-07,1.239887999,"MMP15","Up"
"8071","LOC105378618",5.225415255,8.38e-07,8.38e-07,5.225415255,"LOC105378618","Up"
"8072","PCDHGB8P",-5.837772898,8.39e-07,8.39e-07,-5.837772898,"PCDHGB8P","Down"
"8073","PIGT",-0.51360532,8.39e-07,8.39e-07,-0.51360532,"PIGT","Not Sig"
"8074","SPR",-1.816519346,8.4e-07,8.4e-07,-1.816519346,"SPR","Down"
"8075","CIBAR1-DT",3.479156975,8.53e-07,8.53e-07,3.479156975,"CIBAR1-DT","Up"
"8076","ALDH16A1",-1.396764241,8.54e-07,8.54e-07,-1.396764241,"ALDH16A1","Down"
"8077","GSTP1",-1.739773019,8.62e-07,8.62e-07,-1.739773019,"GSTP1","Down"
"8078","GPR137B",-2.032590343,8.63e-07,8.63e-07,-2.032590343,"GPR137B","Down"
"8079","MAPKAPK2",0.958155324,8.63e-07,8.63e-07,0.958155324,"MAPKAPK2","Up"
"8080","DENND10P1",-0.919549346,8.64e-07,8.64e-07,-0.919549346,"DENND10P1","Down"
"8081","LOC100507002",-1.835484812,8.7e-07,8.7e-07,-1.835484812,"LOC100507002","Down"
"8082","POPDC2",2.292289174,8.7e-07,8.7e-07,2.292289174,"POPDC2","Up"
"8083","LINC02202",4.398648742,8.72e-07,8.72e-07,4.398648742,"LINC02202","Up"
"8084","SMAD5",-1.436679194,8.75e-07,8.75e-07,-1.436679194,"SMAD5","Down"
"8085","GRWD1",-1.423437271,8.79e-07,8.79e-07,-1.423437271,"GRWD1","Down"
"8086","DOK1",-1.782323588,8.83e-07,8.83e-07,-1.782323588,"DOK1","Down"
"8087","FAM71F2",2.850842673,8.84e-07,8.84e-07,2.850842673,"FAM71F2","Up"
"8088","PFN4",2.836191429,8.87e-07,8.87e-07,2.836191429,"PFN4","Up"
"8089","ZNF674",1.025521359,8.88e-07,8.88e-07,1.025521359,"ZNF674","Up"
"8090","JMJD8",-1.104272838,8.93e-07,8.93e-07,-1.104272838,"JMJD8","Down"
"8091","LOC105373252",4.281490824,8.98e-07,8.98e-07,4.281490824,"LOC105373252","Up"
"8092","FAM86C1P",-1.571433832,9.06e-07,9.06e-07,-1.571433832,"FAM86C1P","Down"
"8093","LYSMD2",1.599994256,9.06e-07,9.06e-07,1.599994256,"LYSMD2","Up"
"8094","SGPL1",-0.522276447,9.1e-07,9.1e-07,-0.522276447,"SGPL1","Not Sig"
"8095","LOC105373958",-4.342671023,9.12e-07,9.12e-07,-4.342671023,"LOC105373958","Down"
"8096","ADAMTS5",-1.646606408,9.22e-07,9.22e-07,-1.646606408,"ADAMTS5","Down"
"8097","INPPL1",-1.62238568,9.22e-07,9.22e-07,-1.62238568,"INPPL1","Down"
"8098","BCOR",-0.95036938,9.23e-07,9.23e-07,-0.95036938,"BCOR","Down"
"8099","APBA2",3.753441831,9.24e-07,9.24e-07,3.753441831,"APBA2","Up"
"8100","NEBL",1.540350457,9.36e-07,9.36e-07,1.540350457,"NEBL","Up"
"8101","FOXD4L6",4.550675282,9.38e-07,9.38e-07,4.550675282,"FOXD4L6","Up"
"8102","DENND2D",-6.019714931,9.4e-07,9.4e-07,-6.019714931,"DENND2D","Down"
"8103","XPNPEP2",-6.360214688,9.41e-07,9.41e-07,-6.360214688,"XPNPEP2","Down"
"8104","HPCA",2.020380746,9.41e-07,9.41e-07,2.020380746,"HPCA","Up"
"8105","ANKRD34C",5.371384119,9.41e-07,9.41e-07,5.371384119,"ANKRD34C","Up"
"8106","L3MBTL4",-2.66020554,9.49e-07,9.49e-07,-2.66020554,"L3MBTL4","Down"
"8107","TSC22D2",0.936235506,9.5e-07,9.5e-07,0.936235506,"TSC22D2","Up"
"8108","LARS2",-0.542576136,9.54e-07,9.54e-07,-0.542576136,"LARS2","Not Sig"
"8109","CMSS1",-1.282591786,9.57e-07,9.57e-07,-1.282591786,"CMSS1","Down"
"8110","CACNA1C",4.62541519,9.69e-07,9.69e-07,4.62541519,"CACNA1C","Up"
"8111","SUGT1P3",3.979310334,9.71e-07,9.71e-07,3.979310334,"SUGT1P3","Up"
"8112","ZC3H15",-0.878659586,9.72e-07,9.72e-07,-0.878659586,"ZC3H15","Down"
"8113","ARL15",1.935165186,9.73e-07,9.73e-07,1.935165186,"ARL15","Up"
"8114","GOSR2",0.651361261,9.76e-07,9.76e-07,0.651361261,"GOSR2","Up"
"8115","SERPINA11",-6.107584205,9.83e-07,9.83e-07,-6.107584205,"SERPINA11","Down"
"8116","SCARNA12",-1.816660876,9.84e-07,9.84e-07,-1.816660876,"SCARNA12","Down"
"8117","MBLAC1",1.613217008,9.88e-07,9.88e-07,1.613217008,"MBLAC1","Up"
"8118","PALM2AKAP2",-0.754841774,9.9e-07,9.9e-07,-0.754841774,"PALM2AKAP2","Down"
"8119","SEC23A",-0.515979506,9.91e-07,9.91e-07,-0.515979506,"SEC23A","Not Sig"
"8120","GOLGA4",-1.758870309,9.93e-07,9.93e-07,-1.758870309,"GOLGA4","Down"
"8121","IL2RB",-3.658382781,1e-06,1e-06,-3.658382781,"IL2RB","Down"
"8122","PPP3CA",0.836853854,1e-06,1e-06,0.836853854,"PPP3CA","Up"
"8123","ZNF845",-1.175339099,1.01e-06,1.01e-06,-1.175339099,"ZNF845","Down"
"8124","NIT1",0.579724919,1.01e-06,1.01e-06,0.579724919,"NIT1","Not Sig"
"8125","ASB3",-1.839793423,1.02e-06,1.02e-06,-1.839793423,"ASB3","Down"
"8126","LOC112267895",1.934111344,1.02e-06,1.02e-06,1.934111344,"LOC112267895","Up"
"8127","CAPN10",0.832615887,1.03e-06,1.03e-06,0.832615887,"CAPN10","Up"
"8128","CASC21",4.384979693,1.03e-06,1.03e-06,4.384979693,"CASC21","Up"
"8129","SMG1P6",-2.958135659,1.04e-06,1.04e-06,-2.958135659,"SMG1P6","Down"
"8130","POLH",-0.872456891,1.04e-06,1.04e-06,-0.872456891,"POLH","Down"
"8131","SAMD13",-3.118813004,1.05e-06,1.05e-06,-3.118813004,"SAMD13","Down"
"8132","OR7E14P",-2.490779664,1.05e-06,1.05e-06,-2.490779664,"OR7E14P","Down"
"8133","SNORA64",-2.036884725,1.05e-06,1.05e-06,-2.036884725,"SNORA64","Down"
"8134","PPIL3",-0.964661784,1.05e-06,1.05e-06,-0.964661784,"PPIL3","Down"
"8135","GNPTAB",-0.888755904,1.07e-06,1.07e-06,-0.888755904,"GNPTAB","Down"
"8136","SKA2",0.879657175,1.07e-06,1.07e-06,0.879657175,"SKA2","Up"
"8137","LOC101927914",3.656460172,1.07e-06,1.07e-06,3.656460172,"LOC101927914","Up"
"8138","LHFPL5",4.60636547,1.07e-06,1.07e-06,4.60636547,"LHFPL5","Up"
"8139","LRRC61",-6.295686678,1.08e-06,1.08e-06,-6.295686678,"LRRC61","Down"
"8140","LOC105369863",-6.292562149,1.08e-06,1.08e-06,-6.292562149,"LOC105369863","Down"
"8141","SNORD30",-2.632829839,1.08e-06,1.08e-06,-2.632829839,"SNORD30","Down"
"8142","CTNNA2-AS1",4.546183526,1.08e-06,1.08e-06,4.546183526,"CTNNA2-AS1","Up"
"8143","ZNF556",4.619096141,1.08e-06,1.08e-06,4.619096141,"ZNF556","Up"
"8144","LOC101928156",-2.708387623,1.09e-06,1.09e-06,-2.708387623,"LOC101928156","Down"
"8145","GPCPD1",0.983694406,1.09e-06,1.09e-06,0.983694406,"GPCPD1","Up"
"8146","PRR7-AS1",2.233615582,1.09e-06,1.09e-06,2.233615582,"PRR7-AS1","Up"
"8147","GOLT1A",-3.21884217,1.1e-06,1.1e-06,-3.21884217,"GOLT1A","Down"
"8148","PNRC2",-0.702764412,1.1e-06,1.1e-06,-0.702764412,"PNRC2","Down"
"8149","ACP2",1.588220309,1.1e-06,1.1e-06,1.588220309,"ACP2","Up"
"8150","LOC102724416",3.314360006,1.1e-06,1.1e-06,3.314360006,"LOC102724416","Up"
"8151","RTL1",4.56933014,1.1e-06,1.1e-06,4.56933014,"RTL1","Up"
"8152","MXD3",-1.816382123,1.11e-06,1.11e-06,-1.816382123,"MXD3","Down"
"8153","CDK13-DT",1.98044368,1.12e-06,1.12e-06,1.98044368,"CDK13-DT","Up"
"8154","LOC100507283",2.050640686,1.12e-06,1.12e-06,2.050640686,"LOC100507283","Up"
"8155","LOC101928923",4.615184591,1.12e-06,1.12e-06,4.615184591,"LOC101928923","Up"
"8156","PLEKHM2",0.767391421,1.13e-06,1.13e-06,0.767391421,"PLEKHM2","Up"
"8157","ZFYVE9",1.329290519,1.13e-06,1.13e-06,1.329290519,"ZFYVE9","Up"
"8158","SMIM8",1.019308059,1.14e-06,1.14e-06,1.019308059,"SMIM8","Up"
"8159","LOC105378120",-4.787504371,1.15e-06,1.15e-06,-4.787504371,"LOC105378120","Down"
"8160","SDCBP",-0.515146876,1.15e-06,1.15e-06,-0.515146876,"SDCBP","Not Sig"
"8161","FSD1L",1.683354745,1.15e-06,1.15e-06,1.683354745,"FSD1L","Up"
"8162","WDR83OS",0.804804343,1.16e-06,1.16e-06,0.804804343,"WDR83OS","Up"
"8163","EDC4",0.829696975,1.16e-06,1.16e-06,0.829696975,"EDC4","Up"
"8164","STEAP1",-2.591307626,1.17e-06,1.17e-06,-2.591307626,"STEAP1","Down"
"8165","MBOAT2",1.129586205,1.17e-06,1.17e-06,1.129586205,"MBOAT2","Up"
"8166","ZNF644",-0.730985785,1.18e-06,1.18e-06,-0.730985785,"ZNF644","Down"
"8167","ALG12",-0.576449688,1.18e-06,1.18e-06,-0.576449688,"ALG12","Not Sig"
"8168","TOR1B",0.736835566,1.18e-06,1.18e-06,0.736835566,"TOR1B","Up"
"8169","TNFRSF1A",-1.083612061,1.19e-06,1.19e-06,-1.083612061,"TNFRSF1A","Down"
"8170","CDH15",-5.227333443,1.2e-06,1.2e-06,-5.227333443,"CDH15","Down"
"8171","OPTC",-3.793547909,1.2e-06,1.2e-06,-3.793547909,"OPTC","Down"
"8172","NCKAP5",1.770107288,1.2e-06,1.2e-06,1.770107288,"NCKAP5","Up"
"8173","LOC107987250",2.283145446,1.21e-06,1.21e-06,2.283145446,"LOC107987250","Up"
"8174","ABCC2",-2.516798987,1.22e-06,1.22e-06,-2.516798987,"ABCC2","Down"
