"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"17029","LOC112268251",1.011980825,0.221527598,0.221527598,1.011980825,"LOC112268251","Not Sig"
"17030","VPS52_4",-1.545564913,0.221544052,0.221544052,-1.545564913,"VPS52_4","Not Sig"
"17031","LOC105378672",-0.901163403,0.221683489,0.221683489,-0.901163403,"LOC105378672","Not Sig"
"17032","MRM1",-1.869959489,0.221721094,0.221721094,-1.869959489,"MRM1","Not Sig"
"17033","RIOK1",-0.230799354,0.221761842,0.221761842,-0.230799354,"RIOK1","Not Sig"
"17034","ATAT1_4",-1.891460184,0.221908311,0.221908311,-1.891460184,"ATAT1_4","Not Sig"
"17035","USP48",0.191674749,0.222098769,0.222098769,0.191674749,"USP48","Not Sig"
"17036","SFMBT1",0.354642946,0.222341159,0.222341159,0.354642946,"SFMBT1","Not Sig"
"17037","LOC105378515",1.58523845,0.222420199,0.222420199,1.58523845,"LOC105378515","Not Sig"
"17038","HEXA",0.185730903,0.222487737,0.222487737,0.185730903,"HEXA","Not Sig"
"17039","LOC101929964",-1.91329956,0.222570673,0.222570673,-1.91329956,"LOC101929964","Not Sig"
"17040","LOC105371114",-1.861528614,0.222570673,0.222570673,-1.861528614,"LOC105371114","Not Sig"
"17041","LOC729080",1.233037341,0.222614897,0.222614897,1.233037341,"LOC729080","Not Sig"
"17042","PBOV1",1.773845029,0.222672371,0.222672371,1.773845029,"PBOV1","Not Sig"
"17043","KCNA5",0.794597383,0.222673815,0.222673815,0.794597383,"KCNA5","Not Sig"
"17044","MIR3685",-0.833441466,0.222680753,0.222680753,-0.833441466,"MIR3685","Not Sig"
"17045","LINC00893",1.018601159,0.222680753,0.222680753,1.018601159,"LINC00893","Not Sig"
"17046","LOC102724701",0.673135975,0.222820384,0.222820384,0.673135975,"LOC102724701","Not Sig"
"17047","FGD5P1",2.052310284,0.222929339,0.222929339,2.052310284,"FGD5P1","Not Sig"
"17048","CTC-338M12.4",-0.365335155,0.222944955,0.222944955,-0.365335155,"CTC-338M12.4","Not Sig"
"17049","NCK2",0.245353847,0.223031884,0.223031884,0.245353847,"NCK2","Not Sig"
"17050","SCARA5",-2.008165545,0.223078509,0.223078509,-2.008165545,"SCARA5","Not Sig"
"17051","NCK1",-0.217475229,0.223331352,0.223331352,-0.217475229,"NCK1","Not Sig"
"17052","LINC00926",-0.647779285,0.223368771,0.223368771,-0.647779285,"LINC00926","Not Sig"
"17053","GJD2",0.952541246,0.223368771,0.223368771,0.952541246,"GJD2","Not Sig"
"17054","FAM27E3",0.501738911,0.22344419,0.22344419,0.501738911,"FAM27E3","Not Sig"
"17055","HNF1A",1.506609795,0.224018349,0.224018349,1.506609795,"HNF1A","Not Sig"
"17056","BMERB1_1",0.943935952,0.224055168,0.224055168,0.943935952,"BMERB1_1","Not Sig"
"17057","TMPRSS11F",-2.022985593,0.224057158,0.224057158,-2.022985593,"TMPRSS11F","Not Sig"
"17058","PARP2",0.224142199,0.224057158,0.224057158,0.224142199,"PARP2","Not Sig"
"17059","LOC105378143",-1.936893558,0.224408574,0.224408574,-1.936893558,"LOC105378143","Not Sig"
"17060","REELD1",1.816605213,0.224415214,0.224415214,1.816605213,"REELD1","Not Sig"
"17061","LOC105378844",1.247459099,0.224479742,0.224479742,1.247459099,"LOC105378844","Not Sig"
"17062","ROM1",0.454623461,0.224489226,0.224489226,0.454623461,"ROM1","Not Sig"
"17063","APCDD1",-0.428400557,0.22451973,0.22451973,-0.428400557,"APCDD1","Not Sig"
"17064","CSNK2B",-1.210654239,0.224523508,0.224523508,-1.210654239,"CSNK2B","Not Sig"
"17065","LOC112268148",-1.099078759,0.224638166,0.224638166,-1.099078759,"LOC112268148","Not Sig"
"17066","ZNF155",-0.212235833,0.224758593,0.224758593,-0.212235833,"ZNF155","Not Sig"
"17067","LOC105375989",1.857934696,0.224930842,0.224930842,1.857934696,"LOC105375989","Not Sig"
"17068","LOC101928202",-2.039136319,0.224976066,0.224976066,-2.039136319,"LOC101928202","Not Sig"
"17069","ATXN2",0.225981475,0.225097379,0.225097379,0.225981475,"ATXN2","Not Sig"
"17070","TRIO",0.434322228,0.225146901,0.225146901,0.434322228,"TRIO","Not Sig"
"17071","LOC107985915",1.509632786,0.225179185,0.225179185,1.509632786,"LOC107985915","Not Sig"
"17072","LOC105378570",1.955916933,0.225221315,0.225221315,1.955916933,"LOC105378570","Not Sig"
"17073","UTS2R",-0.707425694,0.225659173,0.225659173,-0.707425694,"UTS2R","Not Sig"
"17074","YKT6",0.376187005,0.225659173,0.225659173,0.376187005,"YKT6","Not Sig"
"17075","LOC101927078",1.523741059,0.225659173,0.225659173,1.523741059,"LOC101927078","Not Sig"
"17076","LOC105376725",1.159821296,0.225685146,0.225685146,1.159821296,"LOC105376725","Not Sig"
"17077","ART4",1.596646458,0.22589434,0.22589434,1.596646458,"ART4","Not Sig"
"17078","NEURL4_1",-1.336109904,0.226050676,0.226050676,-1.336109904,"NEURL4_1","Not Sig"
"17079","KCTD13-DT",0.311872602,0.226120285,0.226120285,0.311872602,"KCTD13-DT","Not Sig"
"17080","TMX1",-0.248264917,0.226179452,0.226179452,-0.248264917,"TMX1","Not Sig"
"17081","LOC107985002",-0.96141101,0.226255484,0.226255484,-0.96141101,"LOC107985002","Not Sig"
"17082","STAG3L5P-PVRIG2P-PILRB",-0.590790182,0.226490549,0.226490549,-0.590790182,"STAG3L5P-PVRIG2P-PILRB","Not Sig"
"17083","AMDHD2",0.365290551,0.226700886,0.226700886,0.365290551,"AMDHD2","Not Sig"
"17084","XKR6",-0.413114725,0.226718304,0.226718304,-0.413114725,"XKR6","Not Sig"
"17085","ANKRD40",-0.227219115,0.226720794,0.226720794,-0.227219115,"ANKRD40","Not Sig"
"17086","C16orf90",-1.463582153,0.226791608,0.226791608,-1.463582153,"C16orf90","Not Sig"
"17087","B3GALT1",0.381724375,0.226791608,0.226791608,0.381724375,"B3GALT1","Not Sig"
"17088","ZNF329",0.273862388,0.226839501,0.226839501,0.273862388,"ZNF329","Not Sig"
"17089","PTPRVP",-1.560175704,0.226873012,0.226873012,-1.560175704,"PTPRVP","Not Sig"
"17090","GOLGA2P7_1",-0.425589532,0.226914288,0.226914288,-0.425589532,"GOLGA2P7_1","Not Sig"
"17091","PGM1",0.415744661,0.226914288,0.226914288,0.415744661,"PGM1","Not Sig"
"17092","FNDC4",-0.410496098,0.226954391,0.226954391,-0.410496098,"FNDC4","Not Sig"
"17093","LOC112268321_1",1.584586259,0.227000378,0.227000378,1.584586259,"LOC112268321_1","Not Sig"
"17094","LINC01185",1.911445193,0.227045639,0.227045639,1.911445193,"LINC01185","Not Sig"
"17095","MLANA",1.165295148,0.227153981,0.227153981,1.165295148,"MLANA","Not Sig"
"17096","XRCC5",-0.203252181,0.227465824,0.227465824,-0.203252181,"XRCC5","Not Sig"
"17097","FAM247A",1.992161045,0.227776071,0.227776071,1.992161045,"FAM247A","Not Sig"
"17098","LOC105370508",0.533755086,0.227894081,0.227894081,0.533755086,"LOC105370508","Not Sig"
"17099","LOC107985012",1.088930296,0.227941663,0.227941663,1.088930296,"LOC107985012","Not Sig"
"17100","UBL7-DT",1.530766278,0.227967435,0.227967435,1.530766278,"UBL7-DT","Not Sig"
"17101","KCNK15",0.478554514,0.228147832,0.228147832,0.478554514,"KCNK15","Not Sig"
"17102","LOC105369667",-2.02159182,0.228174985,0.228174985,-2.02159182,"LOC105369667","Not Sig"
"17103","NEXN-AS1",-0.961755563,0.228333597,0.228333597,-0.961755563,"NEXN-AS1","Not Sig"
"17104","DLGAP1",0.239214641,0.228353706,0.228353706,0.239214641,"DLGAP1","Not Sig"
"17105","KRT75",-2.028262775,0.228363598,0.228363598,-2.028262775,"KRT75","Not Sig"
"17106","LOC105376845",1.557556516,0.228380936,0.228380936,1.557556516,"LOC105376845","Not Sig"
"17107","FABP3",-0.6003121,0.228422059,0.228422059,-0.6003121,"FABP3","Not Sig"
"17108","LINC01772",0.539821507,0.228425146,0.228425146,0.539821507,"LINC01772","Not Sig"
"17109","ELOF1",-0.301751604,0.22846525,0.22846525,-0.301751604,"ELOF1","Not Sig"
"17110","LINC00696",-2.02608811,0.228496887,0.228496887,-2.02608811,"LINC00696","Not Sig"
"17111","MDC1_1",-1.318011927,0.228498081,0.228498081,-1.318011927,"MDC1_1","Not Sig"
"17112","MST1",0.60410615,0.22859788,0.22859788,0.60410615,"MST1","Not Sig"
"17113","C12orf57",0.401344163,0.228613916,0.228613916,0.401344163,"C12orf57","Not Sig"
"17114","MCM8-AS1",1.295437653,0.228617981,0.228617981,1.295437653,"MCM8-AS1","Not Sig"
"17115","LINC00987",-0.364949889,0.228750015,0.228750015,-0.364949889,"LINC00987","Not Sig"
"17116","RGN",-0.548599916,0.228830388,0.228830388,-0.548599916,"RGN","Not Sig"
"17117","DNM1P35",-0.742576351,0.229019187,0.229019187,-0.742576351,"DNM1P35","Not Sig"
"17118","LOC105374781",1.393842109,0.229019187,0.229019187,1.393842109,"LOC105374781","Not Sig"
"17119","LRIT2",0.717095952,0.22903035,0.22903035,0.717095952,"LRIT2","Not Sig"
"17120","LOC112268122",0.933686216,0.229032881,0.229032881,0.933686216,"LOC112268122","Not Sig"
"17121","CEROX1",-0.54494513,0.229151312,0.229151312,-0.54494513,"CEROX1","Not Sig"
"17122","LOC105377871",-2.026990677,0.22916429,0.22916429,-2.026990677,"LOC105377871","Not Sig"
"17123","VAMP7_1",-1.734962788,0.229277888,0.229277888,-1.734962788,"VAMP7_1","Not Sig"
"17124","DNAJC17",0.242921502,0.229404685,0.229404685,0.242921502,"DNAJC17","Not Sig"
"17125","UTP4",-0.367553924,0.229841713,0.229841713,-0.367553924,"UTP4","Not Sig"
"17126","CLIP1",-0.310557376,0.230068751,0.230068751,-0.310557376,"CLIP1","Not Sig"
"17127","NSA2",-0.237292077,0.230072687,0.230072687,-0.237292077,"NSA2","Not Sig"
"17128","PAH",-1.071578925,0.230204609,0.230204609,-1.071578925,"PAH","Not Sig"
"17129","IMPA1P1",1.175022396,0.23025288,0.23025288,1.175022396,"IMPA1P1","Not Sig"
"17130","LOC112267888",1.736055706,0.230348407,0.230348407,1.736055706,"LOC112267888","Not Sig"
"17131","LNC-LBCS",-0.786663714,0.230478574,0.230478574,-0.786663714,"LNC-LBCS","Not Sig"
"17132","PBX2_4",-0.82145136,0.230518355,0.230518355,-0.82145136,"PBX2_4","Not Sig"
"17133","NPSR1",1.243708354,0.230639251,0.230639251,1.243708354,"NPSR1","Not Sig"
"17134","LOC107984701",-1.130964278,0.23076162,0.23076162,-1.130964278,"LOC107984701","Not Sig"
"17135","TM9SF3",-0.166653744,0.230867989,0.230867989,-0.166653744,"TM9SF3","Not Sig"
"17136","DHX16_1",-1.801401699,0.230986234,0.230986234,-1.801401699,"DHX16_1","Not Sig"
"17137","GNLY",-1.704765367,0.231009682,0.231009682,-1.704765367,"GNLY","Not Sig"
"17138","FAM157C",-1.774482722,0.231101565,0.231101565,-1.774482722,"FAM157C","Not Sig"
"17139","LOC105370661",-1.756609727,0.231175262,0.231175262,-1.756609727,"LOC105370661","Not Sig"
"17140","TAL1",-1.745415567,0.231669305,0.231669305,-1.745415567,"TAL1","Not Sig"
"17141","BMP8B",-0.563702998,0.231917313,0.231917313,-0.563702998,"BMP8B","Not Sig"
"17142","LOC728755",-1.745435865,0.231922008,0.231922008,-1.745435865,"LOC728755","Not Sig"
"17143","SNX21",-0.289935201,0.231922008,0.231922008,-0.289935201,"SNX21","Not Sig"
"17144","TEX12",1.436237486,0.231922008,0.231922008,1.436237486,"TEX12","Not Sig"
"17145","DBT",-0.251220151,0.232000586,0.232000586,-0.251220151,"DBT","Not Sig"
"17146","PCDHB15",-0.402066369,0.23203465,0.23203465,-0.402066369,"PCDHB15","Not Sig"
"17147","LOC105376957",1.945254034,0.232088073,0.232088073,1.945254034,"LOC105376957","Not Sig"
"17148","CR2",-1.586489383,0.232111915,0.232111915,-1.586489383,"CR2","Not Sig"
"17149","LOC105373373",1.248941115,0.232128387,0.232128387,1.248941115,"LOC105373373","Not Sig"
"17150","LOC107984741",-0.932970552,0.232169156,0.232169156,-0.932970552,"LOC107984741","Not Sig"
"17151","TRIM7-AS1",-1.838278715,0.232281172,0.232281172,-1.838278715,"TRIM7-AS1","Not Sig"
"17152","TAF4_1",1.469523879,0.232614633,0.232614633,1.469523879,"TAF4_1","Not Sig"
"17153","LOC105371296",1.956263282,0.232651825,0.232651825,1.956263282,"LOC105371296","Not Sig"
"17154","LOC105371739",2.026984284,0.23282408,0.23282408,2.026984284,"LOC105371739","Not Sig"
"17155","POMK",0.31944006,0.233142586,0.233142586,0.31944006,"POMK","Not Sig"
"17156","CCIN",-1.555233524,0.233220241,0.233220241,-1.555233524,"CCIN","Not Sig"
"17157","LOC112268221",-0.735923798,0.233315622,0.233315622,-0.735923798,"LOC112268221","Not Sig"
"17158","LOC107987398",-0.912427237,0.233396354,0.233396354,-0.912427237,"LOC107987398","Not Sig"
"17159","CYB5RL",-0.200514146,0.233422733,0.233422733,-0.200514146,"CYB5RL","Not Sig"
"17160","MKNK2",-0.307735782,0.233490472,0.233490472,-0.307735782,"MKNK2","Not Sig"
"17161","LOC102724946",-1.910490762,0.233529082,0.233529082,-1.910490762,"LOC102724946","Not Sig"
"17162","MLF2",-0.232450179,0.233529082,0.233529082,-0.232450179,"MLF2","Not Sig"
"17163","LONP1",-0.182344699,0.233552622,0.233552622,-0.182344699,"LONP1","Not Sig"
"17164","LOC107986449",-1.466044631,0.233957011,0.233957011,-1.466044631,"LOC107986449","Not Sig"
"17165","SPATS1",1.027005156,0.233960598,0.233960598,1.027005156,"SPATS1","Not Sig"
"17166","MYL6",0.344203034,0.233989949,0.233989949,0.344203034,"MYL6","Not Sig"
"17167","LOC105375530",1.725924932,0.234001889,0.234001889,1.725924932,"LOC105375530","Not Sig"
"17168","SEC14L1",0.295334118,0.234042607,0.234042607,0.295334118,"SEC14L1","Not Sig"
"17169","ACKR2",0.822637023,0.234555908,0.234555908,0.822637023,"ACKR2","Not Sig"
"17170","PTH2",1.185869703,0.234555908,0.234555908,1.185869703,"PTH2","Not Sig"
"17171","CDK7",-1.441982735,0.234557808,0.234557808,-1.441982735,"CDK7","Not Sig"
"17172","LOC107985721",1.570722985,0.234557808,0.234557808,1.570722985,"LOC107985721","Not Sig"
"17173","IFNL4",-1.203272257,0.234643864,0.234643864,-1.203272257,"IFNL4","Not Sig"
"17174","RIF1",-0.282248243,0.23467935,0.23467935,-0.282248243,"RIF1","Not Sig"
"17175","PSIP1",0.167223998,0.23467935,0.23467935,0.167223998,"PSIP1","Not Sig"
"17176","LOC105377632",0.773399457,0.23467935,0.23467935,0.773399457,"LOC105377632","Not Sig"
"17177","MIR133A1HG",-1.340539603,0.234776461,0.234776461,-1.340539603,"MIR133A1HG","Not Sig"
"17178","CDC16",0.184261953,0.234890643,0.234890643,0.184261953,"CDC16","Not Sig"
"17179","LOC107985232",1.855730514,0.234895809,0.234895809,1.855730514,"LOC107985232","Not Sig"
"17180","SNORD46",-0.932277333,0.235016571,0.235016571,-0.932277333,"SNORD46","Not Sig"
"17181","MRPL21",0.259455358,0.235054288,0.235054288,0.259455358,"MRPL21","Not Sig"
"17182","LOC105369782",-1.429234726,0.235063881,0.235063881,-1.429234726,"LOC105369782","Not Sig"
"17183","LOC388780",0.545706586,0.235063881,0.235063881,0.545706586,"LOC388780","Not Sig"
"17184","GUCY2C",-1.184136521,0.235129266,0.235129266,-1.184136521,"GUCY2C","Not Sig"
"17185","HLA-DOA_1",-1.21140266,0.235532034,0.235532034,-1.21140266,"HLA-DOA_1","Not Sig"
"17186","DDX60L",0.667636888,0.235639989,0.235639989,0.667636888,"DDX60L","Not Sig"
"17187","LINC02188",-1.860640505,0.235773099,0.235773099,-1.860640505,"LINC02188","Not Sig"
"17188","PI4KAP1",0.515689999,0.235936277,0.235936277,0.515689999,"PI4KAP1","Not Sig"
"17189","MRO",-1.265150308,0.235956756,0.235956756,-1.265150308,"MRO","Not Sig"
"17190","LOC105374795",0.972565862,0.236010015,0.236010015,0.972565862,"LOC105374795","Not Sig"
"17191","ANKRD20A11P",-0.943372729,0.236050561,0.236050561,-0.943372729,"ANKRD20A11P","Not Sig"
"17192","NDUFS4",0.395658337,0.236083755,0.236083755,0.395658337,"NDUFS4","Not Sig"
"17193","LINC00565",1.341131634,0.236118504,0.236118504,1.341131634,"LINC00565","Not Sig"
"17194","LOC107984158",-1.415290547,0.236853231,0.236853231,-1.415290547,"LOC107984158","Not Sig"
"17195","LOC101929814",1.972351784,0.236914038,0.236914038,1.972351784,"LOC101929814","Not Sig"
"17196","LOC100134040",-2.006930424,0.237060278,0.237060278,-2.006930424,"LOC100134040","Not Sig"
"17197","LOC107984888",-1.789056887,0.237159714,0.237159714,-1.789056887,"LOC107984888","Not Sig"
"17198","MAGEB3",-1.960661804,0.237258337,0.237258337,-1.960661804,"MAGEB3","Not Sig"
"17199","SPR",0.435841234,0.237769689,0.237769689,0.435841234,"SPR","Not Sig"
"17200","SMCR8",-1.040468731,0.237865584,0.237865584,-1.040468731,"SMCR8","Not Sig"
"17201","ATP6V1B1-AS1",-1.350093717,0.238019649,0.238019649,-1.350093717,"ATP6V1B1-AS1","Not Sig"
"17202","LINC01251",0.834907981,0.238115778,0.238115778,0.834907981,"LINC01251","Not Sig"
"17203","AMZ2",-0.208015801,0.238118449,0.238118449,-0.208015801,"AMZ2","Not Sig"
"17204","FAM193B",0.283527696,0.238118449,0.238118449,0.283527696,"FAM193B","Not Sig"
"17205","IVNS1ABP",-0.225035026,0.238256289,0.238256289,-0.225035026,"IVNS1ABP","Not Sig"
"17206","LINC02014",-1.390127199,0.238279798,0.238279798,-1.390127199,"LINC02014","Not Sig"
"17207","CUL7",-0.286206526,0.238286013,0.238286013,-0.286206526,"CUL7","Not Sig"
"17208","FGF14-AS2",-0.478689999,0.238293859,0.238293859,-0.478689999,"FGF14-AS2","Not Sig"
"17209","LOC107984376",-1.832533783,0.23831145,0.23831145,-1.832533783,"LOC107984376","Not Sig"
"17210","LOC101927588",1.994288886,0.238453297,0.238453297,1.994288886,"LOC101927588","Not Sig"
"17211","LOC105379154",1.073905474,0.238483878,0.238483878,1.073905474,"LOC105379154","Not Sig"
"17212","ATP2A3",-0.632773962,0.238613609,0.238613609,-0.632773962,"ATP2A3","Not Sig"
"17213","ITGA4",-0.529714184,0.238769062,0.238769062,-0.529714184,"ITGA4","Not Sig"
"17214","LOC101927764",-0.922891815,0.238897371,0.238897371,-0.922891815,"LOC101927764","Not Sig"
"17215","RPS6KA1",-1.803343076,0.238966498,0.238966498,-1.803343076,"RPS6KA1","Not Sig"
"17216","NRSN2-AS1",0.321528957,0.238975747,0.238975747,0.321528957,"NRSN2-AS1","Not Sig"
"17217","AMACR",0.253406893,0.239263505,0.239263505,0.253406893,"AMACR","Not Sig"
"17218","C7orf61",-0.929824551,0.23938112,0.23938112,-0.929824551,"C7orf61","Not Sig"
"17219","MIR3671",1.092149126,0.239402087,0.239402087,1.092149126,"MIR3671","Not Sig"
"17220","LOC100130331",-0.471973409,0.239417678,0.239417678,-0.471973409,"LOC100130331","Not Sig"
"17221","LOC107984043",1.062986799,0.239569619,0.239569619,1.062986799,"LOC107984043","Not Sig"
"17222","LOC105375426",-1.92578913,0.239587595,0.239587595,-1.92578913,"LOC105375426","Not Sig"
"17223","MBD2",-0.22616725,0.239587595,0.239587595,-0.22616725,"MBD2","Not Sig"
"17224","LOC105374894",-1.957010014,0.239606595,0.239606595,-1.957010014,"LOC105374894","Not Sig"
"17225","ITGAE",-0.184572696,0.23974981,0.23974981,-0.184572696,"ITGAE","Not Sig"
"17226","CCDC181",-0.170359671,0.23974981,0.23974981,-0.170359671,"CCDC181","Not Sig"
"17227","LINC02137",1.054642315,0.239803396,0.239803396,1.054642315,"LINC02137","Not Sig"
"17228","TIMM13",-0.28790518,0.239879734,0.239879734,-0.28790518,"TIMM13","Not Sig"
"17229","SPRNP1",1.263855639,0.239899698,0.239899698,1.263855639,"SPRNP1","Not Sig"
"17230","LOC107985282",-1.72376921,0.239994531,0.239994531,-1.72376921,"LOC107985282","Not Sig"
"17231","TRHDE-AS1",0.65405944,0.240023781,0.240023781,0.65405944,"TRHDE-AS1","Not Sig"
"17232","LOC105377102",1.490831305,0.240057229,0.240057229,1.490831305,"LOC105377102","Not Sig"
"17233","AMIGO3",0.221194501,0.240161015,0.240161015,0.221194501,"AMIGO3","Not Sig"
"17234","LOC105378302",-1.58415447,0.240289671,0.240289671,-1.58415447,"LOC105378302","Not Sig"
"17235","TMC8",-0.788320435,0.240551226,0.240551226,-0.788320435,"TMC8","Not Sig"
"17236","LOC105370638",-1.994050157,0.240565381,0.240565381,-1.994050157,"LOC105370638","Not Sig"
"17237","SCGB1B2P",-0.621187977,0.240602779,0.240602779,-0.621187977,"SCGB1B2P","Not Sig"
"17238","IFT22",0.209680932,0.240602779,0.240602779,0.209680932,"IFT22","Not Sig"
"17239","ADAM3B",-1.74811262,0.240842461,0.240842461,-1.74811262,"ADAM3B","Not Sig"
"17240","SNU13",-0.160931294,0.240977193,0.240977193,-0.160931294,"SNU13","Not Sig"
"17241","SNX16",-0.302230226,0.240984727,0.240984727,-0.302230226,"SNX16","Not Sig"
"17242","TUBGCP5_1",1.804163684,0.240984727,0.240984727,1.804163684,"TUBGCP5_1","Not Sig"
"17243","PLPP1",-0.238116361,0.241087938,0.241087938,-0.238116361,"PLPP1","Not Sig"
"17244","POLR2F",-0.343185801,0.241190933,0.241190933,-0.343185801,"POLR2F","Not Sig"
"17245","MSH3",-0.240665255,0.241236339,0.241236339,-0.240665255,"MSH3","Not Sig"
"17246","TIA1",0.298931322,0.241317453,0.241317453,0.298931322,"TIA1","Not Sig"
"17247","H2AC20",-0.948002625,0.24138651,0.24138651,-0.948002625,"H2AC20","Not Sig"
"17248","GPN2",-0.274397132,0.24143138,0.24143138,-0.274397132,"GPN2","Not Sig"
"17249","TTC8",-0.172014086,0.241502602,0.241502602,-0.172014086,"TTC8","Not Sig"
"17250","FAM210A",-0.133909313,0.241502602,0.241502602,-0.133909313,"FAM210A","Not Sig"
"17251","CGRRF1",0.25552901,0.241668259,0.241668259,0.25552901,"CGRRF1","Not Sig"
"17252","RASAL1",-1.028729003,0.241921212,0.241921212,-1.028729003,"RASAL1","Not Sig"
"17253","NMNAT3",0.57898651,0.241964359,0.241964359,0.57898651,"NMNAT3","Not Sig"
"17254","LOC100506497",-1.140406701,0.241981131,0.241981131,-1.140406701,"LOC100506497","Not Sig"
"17255","MIR611",1.130351801,0.242054402,0.242054402,1.130351801,"MIR611","Not Sig"
"17256","LOC107986392",1.91310073,0.242076336,0.242076336,1.91310073,"LOC107986392","Not Sig"
"17257","VPS52_2",-1.90878036,0.242135852,0.242135852,-1.90878036,"VPS52_2","Not Sig"
"17258","BRD7P3",-1.660528525,0.242188138,0.242188138,-1.660528525,"BRD7P3","Not Sig"
"17259","LOC107984226",-1.53438383,0.24221154,0.24221154,-1.53438383,"LOC107984226","Not Sig"
"17260","PABPC5-AS1",1.182252189,0.24221154,0.24221154,1.182252189,"PABPC5-AS1","Not Sig"
"17261","PDE6B-AS1",-1.087216753,0.242349039,0.242349039,-1.087216753,"PDE6B-AS1","Not Sig"
"17262","LOC101927372",-1.296163364,0.2423717,0.2423717,-1.296163364,"LOC101927372","Not Sig"
"17263","DIS3L-AS1",1.782431223,0.2423717,0.2423717,1.782431223,"DIS3L-AS1","Not Sig"
"17264","LOC112268268",1.974905374,0.2423717,0.2423717,1.974905374,"LOC112268268","Not Sig"
"17265","GLTP",-0.199096296,0.242406775,0.242406775,-0.199096296,"GLTP","Not Sig"
"17266","UBE3A",-0.138790482,0.242618591,0.242618591,-0.138790482,"UBE3A","Not Sig"
"17267","EGFR",-0.546851023,0.242668845,0.242668845,-0.546851023,"EGFR","Not Sig"
"17268","ACMSD",0.823562121,0.242668845,0.242668845,0.823562121,"ACMSD","Not Sig"
"17269","LOC105374759",1.08104585,0.242678408,0.242678408,1.08104585,"LOC105374759","Not Sig"
"17270","LOC107985397",-1.846476667,0.242741557,0.242741557,-1.846476667,"LOC107985397","Not Sig"
"17271","TRH-GTG1-7",1.809056037,0.242969757,0.242969757,1.809056037,"TRH-GTG1-7","Not Sig"
"17272","HHIP-AS1",-0.6234792,0.243077893,0.243077893,-0.6234792,"HHIP-AS1","Not Sig"
"17273","DCLRE1C",0.336224676,0.243077893,0.243077893,0.336224676,"DCLRE1C","Not Sig"
"17274","TUSC8",-1.754929624,0.243167951,0.243167951,-1.754929624,"TUSC8","Not Sig"
"17275","LINC01750",-0.995284876,0.243385963,0.243385963,-0.995284876,"LINC01750","Not Sig"
"17276","ZNF518B",-0.220310258,0.24346473,0.24346473,-0.220310258,"ZNF518B","Not Sig"
"17277","FLI1",-1.644016643,0.243905747,0.243905747,-1.644016643,"FLI1","Not Sig"
"17278","LOC105379051",-1.405357314,0.243929779,0.243929779,-1.405357314,"LOC105379051","Not Sig"
"17279","TSPAN8",-1.950546419,0.243942866,0.243942866,-1.950546419,"TSPAN8","Not Sig"
"17280","PTP4A3",-1.715672862,0.244094519,0.244094519,-1.715672862,"PTP4A3","Not Sig"
"17281","LRRN4CL",0.632981766,0.244094519,0.244094519,0.632981766,"LRRN4CL","Not Sig"
"17282","LINC01938",1.849582287,0.244160445,0.244160445,1.849582287,"LINC01938","Not Sig"
"17283","MAP3K2-DT",0.447518942,0.244168189,0.244168189,0.447518942,"MAP3K2-DT","Not Sig"
"17284","RPL13AP3",-0.935546312,0.244238561,0.244238561,-0.935546312,"RPL13AP3","Not Sig"
"17285","SNORA5A",-0.574055001,0.244429419,0.244429419,-0.574055001,"SNORA5A","Not Sig"
"17286","AMER1",0.535809723,0.244590974,0.244590974,0.535809723,"AMER1","Not Sig"
"17287","ZWILCH",-0.276247143,0.244781071,0.244781071,-0.276247143,"ZWILCH","Not Sig"
"17288","VN2R19P",-1.197448331,0.244825111,0.244825111,-1.197448331,"VN2R19P","Not Sig"
"17289","PEBP4",1.511967552,0.244825111,0.244825111,1.511967552,"PEBP4","Not Sig"
"17290","GCC2-AS1",-0.72494007,0.24488294,0.24488294,-0.72494007,"GCC2-AS1","Not Sig"
"17291","ZNF391",-0.203141935,0.244973909,0.244973909,-0.203141935,"ZNF391","Not Sig"
"17292","XYLB",-0.574085867,0.245162239,0.245162239,-0.574085867,"XYLB","Not Sig"
"17293","CEP95",-0.316480241,0.245205354,0.245205354,-0.316480241,"CEP95","Not Sig"
"17294","TAPBPL",-0.490372975,0.245251102,0.245251102,-0.490372975,"TAPBPL","Not Sig"
"17295","HEATR6",-0.148525474,0.245432866,0.245432866,-0.148525474,"HEATR6","Not Sig"
"17296","ABRAXAS2",-0.156660817,0.245442604,0.245442604,-0.156660817,"ABRAXAS2","Not Sig"
"17297","C12orf42",1.006779337,0.245570272,0.245570272,1.006779337,"C12orf42","Not Sig"
"17298","LOC107987111",1.565842025,0.245680338,0.245680338,1.565842025,"LOC107987111","Not Sig"
"17299","LOC101928295",-0.502423086,0.245698545,0.245698545,-0.502423086,"LOC101928295","Not Sig"
"17300","USH1G",0.750642953,0.245741032,0.245741032,0.750642953,"USH1G","Not Sig"
"17301","FBXO17_1",-1.450751832,0.245746207,0.245746207,-1.450751832,"FBXO17_1","Not Sig"
"17302","ARL14EP-DT",-1.503695578,0.245784457,0.245784457,-1.503695578,"ARL14EP-DT","Not Sig"
"17303","ZNF222",0.674661462,0.245784457,0.245784457,0.674661462,"ZNF222","Not Sig"
"17304","LOC107985375",1.57590395,0.245941156,0.245941156,1.57590395,"LOC107985375","Not Sig"
"17305","OCM",1.577049263,0.245941156,0.245941156,1.577049263,"OCM","Not Sig"
