"","Gene","log2FC","p.value","fdr","logfc","labels","sig"
"8635","C3orf70",1.50573379,0.000119219,0.000119219,1.50573379,"C3orf70","Up"
"8636","VSTM2B",1.872466216,0.000120083,0.000120083,1.872466216,"VSTM2B","Up"
"8637","OPHN1",1.081220438,0.000120469,0.000120469,1.081220438,"OPHN1","Up"
"8638","LOC105371215_1",5.403084441,0.00012067,0.00012067,5.403084441,"LOC105371215_1","Up"
"8639","LOC105373871",-4.306395388,0.00012082,0.00012082,-4.306395388,"LOC105373871","Down"
"8640","DNAJC5G",4.281924977,0.000120833,0.000120833,4.281924977,"DNAJC5G","Up"
"8641","LOC102723985",1.6803809,0.000121047,0.000121047,1.6803809,"LOC102723985","Up"
"8642","LINC00032",-4.391361,0.000121422,0.000121422,-4.391361,"LINC00032","Down"
"8643","PARP3",1.342258318,0.000121466,0.000121466,1.342258318,"PARP3","Up"
"8644","TEX37",-3.706733158,0.000121692,0.000121692,-3.706733158,"TEX37","Down"
"8645","OXER1",-2.465762937,0.000121887,0.000121887,-2.465762937,"OXER1","Down"
"8646","ZNF638",0.657778281,0.000121928,0.000121928,0.657778281,"ZNF638","Up"
"8647","PRDM15",-0.431495368,0.000121946,0.000121946,-0.431495368,"PRDM15","Not Sig"
"8648","TMEM120A",0.64705159,0.00012201,0.00012201,0.64705159,"TMEM120A","Up"
"8649","TNFRSF13C",-2.388062724,0.000122487,0.000122487,-2.388062724,"TNFRSF13C","Down"
"8650","LINC02648",4.121331097,0.000122581,0.000122581,4.121331097,"LINC02648","Up"
"8651","SWSAP1",0.967494438,0.000122809,0.000122809,0.967494438,"SWSAP1","Up"
"8652","GTF2IP7",-3.233488067,0.000123053,0.000123053,-3.233488067,"GTF2IP7","Down"
"8653","LINC01979",2.281935183,0.000123112,0.000123112,2.281935183,"LINC01979","Up"
"8654","COG3",0.468589075,0.00012328,0.00012328,0.468589075,"COG3","Not Sig"
"8655","ABRAXAS1",-0.915053035,0.000123503,0.000123503,-0.915053035,"ABRAXAS1","Down"
"8656","ZNF497-AS1",0.91402652,0.000123865,0.000123865,0.91402652,"ZNF497-AS1","Up"
"8657","TIGD6",0.587328341,0.000123869,0.000123869,0.587328341,"TIGD6","Up"
"8658","RWDD3",-0.827227315,0.000124796,0.000124796,-0.827227315,"RWDD3","Down"
"8659","KLHDC2",0.521375022,0.000124914,0.000124914,0.521375022,"KLHDC2","Not Sig"
"8660","MED14OS",1.366266652,0.000125004,0.000125004,1.366266652,"MED14OS","Up"
"8661","S100A3",-4.498186798,0.000125064,0.000125064,-4.498186798,"S100A3","Down"
"8662","COX5B",0.923121081,0.000125381,0.000125381,0.923121081,"COX5B","Up"
"8663","C2CD4B",-4.175203551,0.000125809,0.000125809,-4.175203551,"C2CD4B","Down"
"8664","ZNF43",-0.726568794,0.000125985,0.000125985,-0.726568794,"ZNF43","Down"
"8665","EEF1AKMT2",-0.661609002,0.000126323,0.000126323,-0.661609002,"EEF1AKMT2","Down"
"8666","PLD1",-2.854089569,0.000126636,0.000126636,-2.854089569,"PLD1","Down"
"8667","OSBPL11",-0.409653336,0.000126726,0.000126726,-0.409653336,"OSBPL11","Not Sig"
"8668","DHCR24-DT",-2.932445479,0.000126771,0.000126771,-2.932445479,"DHCR24-DT","Down"
"8669","SLC22A4",1.501708017,0.00012686,0.00012686,1.501708017,"SLC22A4","Up"
"8670","LOC100130283",1.023702507,0.000126883,0.000126883,1.023702507,"LOC100130283","Up"
"8671","TFAM",-0.617885834,0.000127393,0.000127393,-0.617885834,"TFAM","Down"
"8672","CFAP54",-2.796959343,0.000127936,0.000127936,-2.796959343,"CFAP54","Down"
"8673","TOPORS",-0.538990127,0.000128043,0.000128043,-0.538990127,"TOPORS","Not Sig"
"8674","ZFP3",1.427531746,0.000128043,0.000128043,1.427531746,"ZFP3","Up"
"8675","SYNPR-AS1",1.92444869,0.000128135,0.000128135,1.92444869,"SYNPR-AS1","Up"
"8676","KMT5C",0.945406438,0.000128566,0.000128566,0.945406438,"KMT5C","Up"
"8677","FBXO40",3.622233239,0.000128583,0.000128583,3.622233239,"FBXO40","Up"
"8678","NOL12",-0.838221182,0.000129061,0.000129061,-0.838221182,"NOL12","Down"
"8679","EPCAM-DT",1.997061606,0.000129649,0.000129649,1.997061606,"EPCAM-DT","Up"
"8680","KDM6B",0.731642099,0.000129861,0.000129861,0.731642099,"KDM6B","Up"
"8681","STARD5",-2.244297666,0.000129889,0.000129889,-2.244297666,"STARD5","Down"
"8682","CCDC18",-1.322524936,0.000130615,0.000130615,-1.322524936,"CCDC18","Down"
"8683","IRF6",-4.233643119,0.000130709,0.000130709,-4.233643119,"IRF6","Down"
